id,status,duration,start_date,start_station,end_date,end_station
552535,Closed,656,2012-09-10 07:41:00-04,47,2012-09-10 07:52:00-04,72,T01133,Registered,02215,1988,Male
552536,Closed,1537,2012-09-10 07:41:00-04,62,2012-09-10 08:07:00-04,53
552537,Closed,383,2012-09-10 07:41:00-04,27,2012-09-10 07:48:00-04,30,T01163,Registered,02186,1953,Male
552538,Closed,597,2012-09-10 07:42:00-04,53,2012-09-10 07:51:00-04,23
552539,Closed,808,2012-09-10 07:42:00-04,38,2012-09-10 07:55:00-04,49,T01322,Registered,02145,1952,Female
552540,Closed,1134,2012-09-10 07:42:00-04,57,2012-09-10 08:01:00-04,74
552541,Closed,320,2012-09-10 07:42:00-04,22,2012-09-10 07:47:00-04,42,T01450,Registered,02188,,Male
552543,Closed,432,2012-09-10 07:42:00-04,22,2012-09-10 07:50:00-04,58,T01443,Registered,02066,1967,Male
552544,Closed,1361,2012-09-10 07:42:00-04,25,2012-09-10 08:05:00-04,21
552545,Closed,133,2012-09-10 07:43:00-04,22,2012-09-10 07:45:00-04,64
552546,Closed,1376,2012-09-10 07:43:00-04,22,2012-09-10 08:06:00-04,32
552547,Closed,865,2012-09-10 07:43:00-04,40,2012-09-10 07:57:00-04,50
552548,Closed,960,2012-09-10 07:43:00-04,13,2012-09-10 07:59:00-04,30,T01056,Registered,02151,1977,Male
552550,Closed,1110,2012-09-10 07:43:00-04,57,2012-09-10 08:02:00-04,83
552551,Closed,510,2012-09-10 07:43:00-04,22,2012-09-10 07:52:00-04,23,T01342,Registered,02111,1957,Male
552552,Closed,384,2012-09-10 07:43:00-04,50,2012-09-10 07:50:00-04,54,T01085,Registered,02116,1955,Male
552553,Closed,230,2012-09-10 07:43:00-04,62,2012-09-10 07:47:00-04,3,T01030,Registered,02446,1989,Female
552554,Closed,423,2012-09-10 07:43:00-04,13,2012-09-10 07:51:00-04,25,T01314,Registered,02118,1980,Female
552555,Closed,289,2012-09-10 07:44:00-04,21,2012-09-10 07:48:00-04,39
552556,Closed,196,2012-09-10 07:44:00-04,44,2012-09-10 07:47:00-04,35,T01271,Registered,02113,1975,Male
552557,Closed,478,2012-09-10 07:44:00-04,38,2012-09-10 07:52:00-04,64,T01124,Registered,01852,1986,Male
552558,Closed,366,2012-09-10 07:44:00-04,38,2012-09-10 07:50:00-04,43,T01243,Registered,02110,1955,Male
552559,Closed,797,2012-09-10 07:44:00-04,22,2012-09-10 07:58:00-04,12
552560,Closed,1521,2012-09-10 07:44:00-04,8,2012-09-10 08:10:00-04,64,T01224,Registered,02135,1989,Male
552561,Closed,239,2012-09-10 07:44:00-04,38,2012-09-10 07:48:00-04,44
552562,Closed,482,2012-09-10 07:45:00-04,22,2012-09-10 07:53:00-04,42
552563,Closed,1455,2012-09-10 07:45:00-04,38,2012-09-10 08:09:00-04,9
552564,Closed,669,2012-09-10 07:45:00-04,38,2012-09-10 07:56:00-04,31,T01328,Registered,01945,1985,Female
552565,Closed,377,2012-09-10 07:46:00-04,38,2012-09-10 07:52:00-04,20
552566,Closed,1299,2012-09-10 07:45:00-04,79,2012-09-10 08:07:00-04,34
552567,Closed,430,2012-09-10 07:46:00-04,32,2012-09-10 07:53:00-04,5,T01291,Registered,02115,1989,Male
552568,Closed,630,2012-09-10 07:47:00-04,54,2012-09-10 07:57:00-04,61
552569,Closed,1240,2012-09-10 07:47:00-04,26,2012-09-10 08:07:00-04,72,T01447,Registered,02118,1984,Male
552570,Closed,466,2012-09-10 07:47:00-04,47,2012-09-10 07:54:00-04,31
552572,Closed,697,2012-09-10 07:47:00-04,61,2012-09-10 07:58:00-04,80
552573,Closed,403,2012-09-10 07:47:00-04,26,2012-09-10 07:54:00-04,35
552574,Closed,817,2012-09-10 07:47:00-04,46,2012-09-10 08:00:00-04,9
552575,Closed,492,2012-09-10 07:47:00-04,38,2012-09-10 07:55:00-04,22
552576,Closed,441,2012-09-10 07:47:00-04,40,2012-09-10 07:54:00-04,64
