id,status,duration,start_date,start_station,end_date,end_station
482626,Closed,921,2012-08-19 02:27:00-04,75,2012-08-19 02:43:00-04,12,T01200,Casual,,,
482627,Closed,932,2012-08-19 02:27:00-04,75,2012-08-19 02:43:00-04,12
482630,Closed,515,2012-08-19 02:31:00-04,53,2012-08-19 02:40:00-04,32,T01045,Casual,,,
482631,Closed,912,2012-08-19 02:33:00-04,30,2012-08-19 02:48:00-04,56
482632,Closed,662,2012-08-19 02:31:00-04,60,2012-08-19 02:42:00-04,64
482633,Closed,635,2012-08-19 02:31:00-04,6,2012-08-19 02:41:00-04,20
482634,Closed,550,2012-08-19 02:32:00-04,6,2012-08-19 02:41:00-04,20
482635,Closed,1920,2012-08-19 02:31:00-04,60,2012-08-19 03:03:00-04,6
482636,Closed,2204,2012-08-19 02:33:00-04,58,2012-08-19 03:10:00-04,36
482637,Closed,2242,2012-08-19 02:32:00-04,58,2012-08-19 03:10:00-04,36
482639,Closed,1662,2012-08-19 02:33:00-04,54,2012-08-19 03:01:00-04,74
482640,Closed,1457,2012-08-19 02:36:00-04,54,2012-08-19 03:01:00-04,74,T01217,Casual,,,
482641,Closed,682,2012-08-19 02:38:00-04,59,2012-08-19 02:49:00-04,55
482642,Closed,1251,2012-08-19 02:38:00-04,14,2012-08-19 02:59:00-04,68,T01219,Casual,,,
482643,Closed,668,2012-08-19 02:40:00-04,55,2012-08-19 02:51:00-04,6,T01351,Registered,02114,1979,Female
482644,Closed,565,2012-08-19 02:42:00-04,33,2012-08-19 02:52:00-04,41
482645,Closed,641,2012-08-19 02:43:00-04,26,2012-08-19 02:54:00-04,26
482646,Closed,658,2012-08-19 02:44:00-04,49,2012-08-19 02:55:00-04,21,T01156,Casual,,,
482647,Closed,619,2012-08-19 02:44:00-04,49,2012-08-19 02:55:00-04,21
482648,Closed,433,2012-08-19 02:45:00-04,68,2012-08-19 02:52:00-04,68
482649,Closed,577,2012-08-19 02:45:00-04,36,2012-08-19 02:54:00-04,33,T01298,Registered,02199,1988,Male
482650,Closed,994,2012-08-19 02:46:00-04,22,2012-08-19 03:03:00-04,72,T01212,Casual,,,
482651,Closed,511,2012-08-19 02:45:00-04,32,2012-08-19 02:54:00-04,27,T01045,Registered,02119,1982,Male
482652,Closed,1166,2012-08-19 02:48:00-04,73,2012-08-19 03:08:00-04,79,T01296,Casual,,,
482653,Closed,441,2012-08-19 02:59:00-04,81,2012-08-19 03:07:00-04,25
482654,Closed,2346,2012-08-19 03:07:00-04,72,2012-08-19 03:46:00-04,71,T01212,Casual,,,
482655,Closed,1223,2012-08-19 03:15:00-04,71,2012-08-19 03:35:00-04,58,T01315,Casual,,,
482656,Closed,862,2012-08-19 03:22:00-04,4,2012-08-19 03:37:00-04,38,T01322,Registered,02113,1978,Male
