id,status,duration,start_date,start_station,end_date,end_station
615933,Closed,450,2012-09-28 07:40:00-04,47,2012-09-28 07:47:00-04,31
615934,Closed,248,2012-09-28 07:41:00-04,50,2012-09-28 07:45:00-04,81,T01130,Registered,02116,1955,Male
615935,Closed,386,2012-09-28 07:42:00-04,26,2012-09-28 07:48:00-04,35
615936,Closed,512,2012-09-28 07:43:00-04,38,2012-09-28 07:51:00-04,64,T01152,Registered,02110,1972,Male
615937,Closed,215,2012-09-28 07:45:00-04,27,2012-09-28 07:49:00-04,30
615938,Closed,325,2012-09-28 07:47:00-04,57,2012-09-28 07:52:00-04,16,T01193,Registered,02118,1989,Male
615939,Closed,1000,2012-09-28 07:48:00-04,94,2012-09-28 08:05:00-04,22
615940,Closed,530,2012-09-28 07:48:00-04,41,2012-09-28 07:57:00-04,10,T01159,Registered,02215,1992,Female
615941,Closed,500,2012-09-28 07:49:00-04,40,2012-09-28 07:57:00-04,24
615942,Closed,520,2012-09-28 07:50:00-04,76,2012-09-28 07:59:00-04,18
615943,Closed,944,2012-09-28 07:50:00-04,19,2012-09-28 08:05:00-04,72,T01006,Registered,02446,1984,Male
615944,Closed,778,2012-09-28 07:50:00-04,69,2012-09-28 08:03:00-04,61,T01021,Registered,02116,1980,Female
615945,Closed,794,2012-09-28 07:50:00-04,16,2012-09-28 08:04:00-04,68,T01160,Registered,06357,1959,Male
615947,Closed,471,2012-09-28 07:54:00-04,4,2012-09-28 08:01:00-04,23
615948,Closed,535,2012-09-28 07:54:00-04,43,2012-09-28 08:03:00-04,84
615950,Closed,611,2012-09-28 07:55:00-04,85,2012-09-28 08:05:00-04,50
615951,Closed,730,2012-09-28 07:55:00-04,89,2012-09-28 08:08:00-04,29
615952,Closed,630,2012-09-28 07:56:00-04,57,2012-09-28 08:06:00-04,22
615953,Closed,535,2012-09-28 07:56:00-04,54,2012-09-28 08:05:00-04,63
615954,Closed,503,2012-09-28 07:57:00-04,32,2012-09-28 08:05:00-04,25
615955,Closed,230,2012-09-28 08:00:00-04,60,2012-09-28 08:04:00-04,42,T01165,Registered,02474,1972,Male
615956,Closed,200,2012-09-28 08:01:00-04,97,2012-09-28 08:04:00-04,87
615957,Closed,288,2012-09-28 08:02:00-04,16,2012-09-28 08:06:00-04,39
615958,Closed,493,2012-09-28 08:02:00-04,26,2012-09-28 08:10:00-04,50
615959,Closed,463,2012-09-28 08:03:00-04,6,2012-09-28 08:11:00-04,48
615960,Closed,1494,2012-09-28 08:05:00-04,15,2012-09-28 08:30:00-04,53,T01147,Registered,02135,1987,Male
615961,Closed,334,2012-09-28 08:06:00-04,45,2012-09-28 08:12:00-04,55,T01122,Registered,02215,1983,Male
615962,Closed,1110,2012-09-28 08:08:00-04,38,2012-09-28 08:27:00-04,75
615963,Closed,975,2012-09-28 08:09:00-04,38,2012-09-28 08:25:00-04,22
615964,Closed,287,2012-09-28 08:09:00-04,20,2012-09-28 08:14:00-04,35,T01110,Registered,02113,1975,Male
615965,Closed,732,2012-09-28 08:09:00-04,38,2012-09-28 08:21:00-04,64,T01330,Registered,01915,1978,Male
615966,Closed,244,2012-09-28 08:10:00-04,53,2012-09-28 08:14:00-04,67,T01436,Registered,02215,1984,Female
615967,Closed,551,2012-09-28 08:10:00-04,40,2012-09-28 08:19:00-04,64
615968,Closed,1341,2012-09-28 08:11:00-04,66,2012-09-28 08:33:00-04,42,T01332,Registered,02116,1991,Male
615969,Closed,351,2012-09-28 08:11:00-04,38,2012-09-28 08:17:00-04,20,T01235,Registered,01890,1959,Male
615970,Closed,857,2012-09-28 08:11:00-04,38,2012-09-28 08:25:00-04,43
615971,Closed,410,2012-09-28 08:11:00-04,38,2012-09-28 08:18:00-04,48
615972,Closed,406,2012-09-28 08:11:00-04,70,2012-09-28 08:18:00-04,18,T01254,Registered,02138,1977,Female
615973,Closed,353,2012-09-28 08:12:00-04,88,2012-09-28 08:17:00-04,75
615974,Closed,421,2012-09-28 08:12:00-04,46,2012-09-28 08:19:00-04,13
615975,Closed,539,2012-09-28 08:12:00-04,57,2012-09-28 08:21:00-04,35,T01072,Registered,02118,1973,Male
615976,Closed,191,2012-09-28 08:13:00-04,43,2012-09-28 08:16:00-04,22
615978,Closed,482,2012-09-28 08:13:00-04,36,2012-09-28 08:21:00-04,26,T01214,Registered,02445,1966,Female
615979,Closed,640,2012-09-28 08:13:00-04,22,2012-09-28 08:24:00-04,61
615980,Closed,491,2012-09-28 08:13:00-04,38,2012-09-28 08:22:00-04,35
615981,Closed,350,2012-09-28 08:15:00-04,68,2012-09-28 08:21:00-04,95
615982,Closed,440,2012-09-28 08:15:00-04,34,2012-09-28 08:23:00-04,21,T01206,Registered,02215,1988,Female
615983,Closed,516,2012-09-28 08:15:00-04,10,2012-09-28 08:24:00-04,46,T01099,Registered,02135,1991,Male
615984,Closed,308,2012-09-28 08:15:00-04,64,2012-09-28 08:21:00-04,31,T01152,Registered,02169,1961,Male
